user_name,nickname,bio_content,followers,following,keyword_repetitions,follower_following_ratio,total_favs,total_lists
Meduza,meduzaproject,Это «Медуза». Только самые важные новости и тексты https://t.co/s0cFqJ6kOv https://t.co/wCrm5RGmEv  ◉Расширение для Chrome◉:  https://t.co/6r5u2BWva2,553189,15,1,36879.26666666667,43,1678
Mustafa agha,mustafa_agha,"يفتشون عن أخطاء الآخرين وكأنهم يبحثون عن كنز، عقول تستحق الشفقة Head of MBC Sports. Brand Ambassador Copa Coca Cola, TryMax , https://t.co/Q8kM9OZjHV",4092402,111,1,36868.48648648649,489,5759
La Patilla,la_patilla,"Información e Investigación. 
También tenemos noticias frescas en Instagram - https://t.co/zWU7Vr8R9P  y Snapchat: https://t.co/7156GAjx0g ¡Siguenos!",5669427,158,4,35882.44936708861,569,15979
Ulusal Kanal,ulusalkanal,"Ulusal Kanal Resmi Twitter hesabı! 

Facebook- https://t.co/ldHyaoQGRF - İnstagram- https://t.co/1N0WnCCXRw - İletişim: admin@ulusalkanal.com.tr",430163,12,1,35846.91666666666,262,811
Ya5abar | ياخبر,Ya5abar,"‏‏‏جه الوقت اللي هتكون فيه مصدر الخبر!
http://t.co/nGKKHDA8Bc‎‎‎ | https://t.co/mq6FFcL6Gi",35535,1,2,35535,47,213
LIGA Bancomer MX,LIGABancomerMX,Aquí se vive el futbol con emoción y mucha pasión ✌️,1845676,56,1,32958.5,449,2197
iPhone Hacks,iPhoneHackx,"Unlock the potential of your iPhone, iPad and iPod Touch. 

This Twitter account is managed by Gautam (@gautamp777)",95671,3,4,31890.33333333333,40,1766
برامج ايفون مجانية,MosaiqueIOS,أهم البرامج و الألعاب و العروض المجانية ، للإستفسارات التقنية @HDR74,59857,2,3,29928.5,1,383
عالم آبل,Applewd,"كل أخبار آبل بالعربية ، تلميحات ، تطبيقات وأكثر!

راجع الموقع والتغريدات الأخيرة للمستجدات وربما للحصول على جواب سؤالك",689822,24,1,28742.58333333333,119,3325
Jarir Qatar جرير قطر,JarirQatar,الحساب الرسمي لمكتبة جرير قطر تابعونا للحصول على أحدث العروض..Official Jarir Bookstore Qatar Twitter account - follow to get latest offers,27382,,2,27382,,77
The Dutch Cajonist,DutchCajonist,Welcome to the Official Twitter of The Dutch Cajonist !,26733,1,2,26733,,131
CNN México,CNNMex,"Te traemos las noticias de última hora y las historias destacadas del momento. Comparte, analiza y discute. ¡Únete a la conversación!",3384665,131,1,25837.13740458015,144,11782
RadioFarda راديوفردا,RadioFarda_,"News on Iran, Middle East, and World from Radio Farda",223636,9,1,24848.44444444445,21,590
JobsableSYD,JobsableSYD,"Jobs, tasks, freelance projects,tips and advice from Jobsable, a global leader in connecting people to job opportunities, wherever they are. #startup",23710,1,1,23710,703,258
Apple News,applenws,"#AppleNews: Latest news about #Apple ( #iPhone) . We are not related with Apple® . Spanish: @MundoApple",1034260,46,12,22483.91304347826,346,6582
9to5Mac ,9to5mac,We break Apple News. Tips@9to5mac.com http://t.co/08acwjc8Rl and http://t.co/0nnwbET9zQ for the best gear and deals.,337231,15,3,22482.06666666667,220,11410
CNN,CNN,"It’s our job to #GoThere and tell the most difficult stories. Come with us!",24832896,1118,2,22211.89266547406,1385,115077
TRT World,trtworld,"At TRT World, audiences can expect balanced, in-depth reporting with a focus on global responsibility.",22111,,1,22111,,195
Berita Indonesia,BERITAindonesia,"Berita Indonesia Jakarta #BeritaIndonesia",21691,,2,21691,1,326
BI Tech,SAI,The latest tech news from @BusinessInsider.,1365973,63,2,21682.11111111111,27,14749
TeknoKulis,TeknoKulis,"Türkiye'nin en hızlı büyüyen teknoloji sitesi. En güncel haberler, incelemeler, ipuçları, dosyalar, galeriler, videolar ve yazarlar.",21380,,1,21380,,389
App Store Japan,AppStoreJP,ニューリリースや限定Appなど最新情報をお届けする App Store 日本公式アカウントです。,182602,9,1,20289.11111111111,,1913
拡散RT,kakusan_RT,「拡散」が含まれるツイートをRTするbotです．お問い合わせは本アカウントの固定ツイートとお気に入りを必ずご一読の上 @raysato までお願いします．また，本アカウント宛ての拡散依頼は受け付けておりませんのでご了承下さい．,20056,1,2,20056,27,613
Fat Kid Deals,FatKidDeals,Official Twitter for Fat Kid Deals. Find us at https://t.co/XDGt16rkrt. Email: FatKidDeals@Gmail.Com,20015,1,3,20015,1906,154
Hacker News YC,newsycbot,Latest from Hacker News Y Combinator at http://t.co/fNtqi9qeGL. This bot is maintained by @danielchownet. Enjoy! :),19249,1,1,19249,,1479
Spinoza,spinozait,Un blog serissimo. Anche in versione live su @LiveSpinoza,1006735,54,1,18643.24074074074,54,4089
武井勇輝,takei_corvo,武井勇輝「I'M HOME」 https://t.co/KgsJL6yrzz,17375,,2,17375,13,23
Pierce The Veil,piercetheveil,"New album #Misadventures available May 13th | Pre-order now DIGITAL: https://t.co/GGdBFgOjqY | BUNDLES: https://t.co/vasqaxhIgq | New single #TexasIsForever",1334664,78,1,17111.07692307692,6,2276
robin strasser,robinstrasser,Gratitude has Magnitude:),17006,,2,17006,15,393
Apple Support,AppleSupport,"We’re here to provide tips, tricks and helpful information when you need it most. We’re available every day to answer your questions, from 5am-8pm Pacific.",300200,18,71,16677.77777777778,3,2171
mobikenya,mobikenya,"A peer to peer marketplace for Buying And Selling New or used mobile phones and tablets #Android #iPhone #smartwatch #mobile",16438,,3,16438,9,3
马来西亚中国报,mychinapress,马来西亚第二大华文日报,16105,1,9,16105,2,203
inilahcom,inilahdotcom,Official Twitter Account of http://t.co/jjLnRrXJm7 | NewsRoom : redaksi@inilah.com / 20F2B2B9 | Marketing : marketing@inilah.com,338373,22,1,15380.59090909091,103,1089
iTunes Japan,iTunesJapan,,183191,12,1,15265.91666666667,,5451
iDownloadBlog,iDownloadBlog,"A blog about the iPhone, iPad, iOS and Apple. Got tips? Send them to tips@iDownloadBlog.com. Tweets by @SebastienPage",137102,9,2,15233.55555555555,217,3021
The Loop,theloop,,15120,,2,15120,8,1394
Jon Gruden,Faux_Gruden,"Not affiliated with the real Jon Gruden. *Parody Account* Created by: @JGreear23 Email: FauxGruden@gmail.com GET YOUR SPIDER 2 Y BANANA SHIRTS BELOW, MAN",204250,14,1,14589.28571428571,22324,380
المدينة | Madinah ❤,MedinaKsa,"‏‏‏‏أوقات الصلاة في طيبة الطيبة، 
بعيداً عن زحمة الحياة أعمل لعالمك الآخر",29012,2,1,14506,350,54
DIY Hacks,WeirdLifeHacks,Bringing you simple DIY tricks and life hacks to help with everyday life | We do not claim the rights to the pictures.,156601,11,1,14236.45454545455,112,329
Интерфакс,interfax_news,Новости ''Интерфакса'',528004,38,1,13894.84210526316,9,3460
ulusalkanal.com.tr,ulusalkanalcom,"https://t.co/ggwBdMRSXe Resmi Twitter hesabı! 

Hızlı Haber, Doğru Yorum ve Sadece Gerçek İçin https://t.co/ggwBdMRSXe - İletişim: admin@https://t.co/ggwBdMRSXe",302756,22,1,13761.63636363636,498,368
Айфон Митяя,iphone_mitko,"IPHONE все, остальное ничто! Главное чтоб был айфон, остальное все будет!",252092,19,1,13268,1,11
FAKTA GREGET™,GERGETFAKTA,Kumpulan Fakta Unik & Menarik Yang berasal dari sumber sumber terpercaya | Bila Ada Kesalahan Tweet Tolong Mention Kami. CP:buzzer.strong@gmail.com,13114,,1,13114,,4
Bill Simmons,BillSimmons,Host of The Bill Simmons Podcast - links at https://t.co/wFBtVnv1DU. My HBO show = 2016. My next digital venture is https://t.co/CIR7zsReer - follow @ringer,4910572,378,2,12990.93121693122,1,32907
1Password,1Password,"A password manager and secure wallet for Mac, Windows, iOS, and Android.",90559,7,2,12937,9389,5296
Sesame Workshop,SesameWorkshop,The nonprofit educational organization behind Sesame Street and so much more.,77171,6,1,12861.83333333333,9,1277
Alice Cooper,RealAliceCooper,The ONLY Official Alice Cooper Twitter!,653338,52,1,12564.19230769231,19,3169
TIME.com,TIME,Breaking news and current events from around the globe. Hosted by TIME staff. Tweet questions to our customer service team @TIMEmag_Service.,10435951,842,1,12394.24109263658,625,95400
BEN PASTERNAK,benpasternak,cool hustling dude @flogg.  press enquiries: press@flogg.com,12296,1,1,12296,73,30
MacRumors.com,MacRumors,"Apple, Mac, iPhone and iPad News and Rumors. Got a tip? Email it to tips@macrumors.com - YouTube: https://t.co/uSQf3HSpc3 - Facebook: https://t.co/tUCnKIJ4R4",694145,57,3,12177.98245614035,288,18105
جنائز الزلفي,gnaezzulfi,,12155,,1,12155,,32
Samuel H. Sylf,sylfidi,"in multiple languages. Elaborate on better world with me. #Book Platonic Taste and a Song of Longing out  now https://t.co/XXkUPtgWYu…",12131,1,1,12131,38,52
retioPUE,retioPUE,"Una liga de ciudadanos haciendo periodismo de calle con Twitter. Los reporteros somos todos, colabora poniendo @retioPUE",12082,1,2,12082,2,81
Xcite Alghanim,xcitealghanim,"The official twitter page of X-cite By Alghanim Electronics, the leading consumer electronics retailer in Kuwait",59395,5,1,11879,14,150
Ohio State Buckeyes,BR_OSUBuckeyes,Entertaining content and breaking news from all of the top Ohio State sources on the Web.,11449,,1,11449,,379
Hacker News,HNTweets,Tweets the stories on the front page of Hacker News. Maintained by @d4nt and in no way affiliated with Y Combinator.,11244,1,3,11244,,675
Федот на НТВ,fdntv,"Смелей входите, дверь не заперта, она всегда открыта для любого. Всегда найдется место у огня. И в этом доме вы найдете счастье, а в горе и беде – друзей.",235961,21,1,11236.2380952381,1,6
Gadgets 360,Gadgets360,"NDTV Gadgets is now Gadgets 360. Breaking tech news, the latest reviews, opinions, analysis, videos, photos and more.",167286,15,2,11152.4,,1368
Mark Z. Danielewski,markdanielewski,Here you will not find your voice . . .,10842,,1,10842,8,278
Apple Music,AppleMusic,All the ways you love music. All in one place. Available on the new iOS.,8395212,779,1,10776.90885750963,94,20987
"#BADR_ALSHAMMARI ®",Bshammari20,حساب مختص لعرض ماهو جديد من أخبار وبرامج مجانية لفترة محدودة في عالم Apple ... مسابقات وجوائز متنوعة . ™ BBM:5E7EF078,10720,,5,10720,397,9
SAMAA TV,SAMAATV,"Breaking news from Pakistan including Politics insights, Sports, Entertainment and much more",417112,39,1,10695.17948717949,75,841
YY's Robot =D,WeiPhoneNews,非官方新闻推送机器人 :\ ，只调戏小宇 :D，机器人+偶尔人工推送iOS、Android新闻 :) ，偶尔卖萌~偶尔买萌，欢迎大家支持！机器人主人： @ytwytw 有问题可以戳偶喵~~~ meow~~~,10595,1,3,10595,2,235
Follow back ?,Greatest_advice,,232195,23,1,10095.4347826087,,185
la Repubblica,repubblicait,Il twitter feed ufficiale delle notizie di Repubblica.it,2194607,219,2,10021.03652968036,22,10675
Hipertextual,Hipertextual,"En la intersección entre la tecnología, la ciencia y las humanidades.",418842,42,1,9972.428571428571,,11343
Prensa Libre,prensa_libre,Diario líder de Guatemala. Llevamos a todos los guatemaltecos dentro y fuera de país lo más importante del acontecer nacional.,855470,88,3,9721.25,92,2601
Naritas,Naritas,Corporate & consumer credit advisers  https://t.co/A87Be9Mrci & https://t.co/Qbdy6LJDMq,9641,,1,9641,2,39
Patently Apple,PatentlyApple,Welcome to Patently Apple's Twitter site. We're focused on delivering the very best  Apple IP news to mobile users,9377,,2,9377,,657
iphone & ipad,iApp_free,"اكبر حساب عربي لعروض البرامج المجانية للايفون والايباد والاندرويد و الاخبار المهمة للتقنية 
للإعلان : iappfreeads@gmail.com
WhatsApp: +966505486000",551181,59,2,9342.050847457627,1366,3049
PojokSatu.id,PojokSatu,"Official Twitter Account Pojok Satu, Jawa Pos Group. Saat yang lain itu-itu saja, dapatkan informasi lain di sini.",37116,4,1,9279,28,5
