user_name,nickname,bio_content,followers,following,keyword_repetitions,follower_following_ratio,total_favs,total_lists
Entrepreneur,Entrepreneur,"Inspiring, informing and celebrating entrepreneurs since 1973. Please tweet @EntCommunity for questions and event live-feeds.",2264289,1358,1,1667.370397643594,294,25156
BioBioChile,biobio,Usa @biobio y cuéntanos todo lo que ocurre en tu ciudad. ¡Síguenos y mantente informado minuto a minuto!,2253361,16582,1,135.8919913158847,10162,10257
FRANCE 24,FRANCE24,International News 24/7 in your language: @France24_fr - @France24_en - @France24_ar Contact us: https://t.co/ZaaXsh7FeN Mobile: https://t.co/gq0PUBNwJx,2226720,426,1,5227.042253521126,675,8542
la Repubblica,repubblicait,Il twitter feed ufficiale delle notizie di Repubblica.it,2194607,219,2,10021.03652968036,22,10675
Fast Company,FastCompany,Official Twitter feed for the Fast Company business media brand;  inspiring readers to think beyond traditional boundaries & create the future of business.,2060037,3939,1,522.98476770754,1932,43001
REFORMACOM,Reforma,Corazón de México,2003032,233,1,8596.703862660945,222,9539
20 Minutes,20Minutes,"Information en continu. Actualités, Politique, Sport, People, High Tech / Sur Facebook : http://t.co/39vntgKz",1917317,1380,1,1389.360144927536,212,8491
The Independent,Independent,"News, comment and features from The Independent.",1903333,1069,2,1780.479887745557,1,17427
Skip Bayless,RealSkipBayless,"Daily sports truth and the hottest sports debate on TV, 10 a.m. Eastern, ESPN2. Maybe not what you want to hear, but need to hear.",1883659,,1,1883659,5,12499
LIGA Bancomer MX,LIGABancomerMX,Aquí se vive el futbol con emoción y mucha pasión ✌️,1845676,56,1,32958.5,449,2197
Sam Pottorff,sampottorff,i like food and you! came out of my mothers womb a long time ago! SnapChat: SammPott business inquiries onlysampottorff@gmail.com,1794141,15274,1,117.4637292130418,48,5536
Sexenio,SexenioMX,Llevamos a las manos de los líderes mexicanos la información que determina el rumbo del país.,1789245,476,1,3758.918067226891,1900,2598
scarlet monahan,scarletmonahan,"looking in-looking on,
making art and still trying to work out the difference between a smile and a grin-
photography sculpture poetry celebrity controversial",1752744,25126,3,69.75817877895408,270726,1062
The Indian Express,IndianExpress,"The Indian Express brings to you latest news from India and the world, breaking round the clock. The 'Journalism of Courage' starts here.",1728767,731,1,2364.934336525308,371,3420
BBC Mundo,bbcmundo,Twitter oficial de BBC Mundo. Aquí encuentran una selección de lo mejor de nuestro contenido y los invitamos a una conversación global. ¿Se animan?,1714597,331,1,5180.051359516617,772,16134
Rappler,rapplerdotcom,"The Social News Network. Uncompromised journalism that inspires smart conversation and a thirst for change. We have an app for iOS, Android & Windows8!",1693793,358,1,4731.265363128492,6128,2969
NFL on ESPN,ESPNNFL,"ESPN’s official NFL coverage. Sunday NFL Countdown, NFL LIVE, NFL Insiders and the NFL Draft. For Monday Night Football, follow @ESPNMondayNight.",1666568,2170,2,768.0036866359447,1902,9471
The Next Web,TheNextWeb,Your source for opinionated perspectives on tech news for Generation T,1655363,1178,1,1405.231748726655,2237,31952
ReadWrite,RWW,"The latest news, analysis, and conversation on the Internet of Things #IoT and the Connected World from the https://t.co/l1wXqXK5ug team.",1654045,2713,1,609.6737928492444,5455,26942
Reuters Business,ReutersBiz,"Top business news around the world. Join us @Reuters, @breakingviews, @ReutersGMF",1596515,229,1,6971.681222707423,4,19287
LA F.m.,lafm,"Escúchanos en:
Bogotá 94.9 FM
Cali 98.5 FM
Medellín 106.9 FM
Cúcuta 102.7 FM
Eje Cafetero 98.5 FM
M/zales 99.7 FM
Fusa 103.3 FM
Ibagué 1020 AM
B/quilla 93.1 FM",1580767,214,5,7386.761682242991,255,4034
Fact,Fact,Interesting facts about the world we live in. Check us out: https://t.co/csHwnwjWqZ / Facebook: https://t.co/nKPHSWpSOr,1550867,,1,1550867,122,4605
La Tercera,latercera,"El diario de Chile. Noticias, conversación, opinión y otros contenidos destacados de http://t.co/h2mpRUhOmt. Sigue la actualidad deportiva en @lt_deportes.",1532580,241409,1,6.348479137066141,604,6258
Business Insider,businessinsider,What you need to know.,1523175,200,2,7615.875,441,24523
Yo Gotti,YoGottiKOM,"The Greatest Story Ever Told Thru Music #TheArtofHustle Is Available Now! https://t.co/goCuZEG8kz                       #GottiNation",1410004,642,1,2196.267912772586,116,2888
BI Tech,SAI,The latest tech news from @BusinessInsider.,1365973,63,2,21682.11111111111,27,14749
Pierce The Veil,piercetheveil,"New album #Misadventures available May 13th | Pre-order now DIGITAL: https://t.co/GGdBFgOjqY | BUNDLES: https://t.co/vasqaxhIgq | New single #TexasIsForever",1334664,78,1,17111.07692307692,6,2276
Universal Musica,UniversalMusica,"Universal Music Latin Entertainment: Noticias exclusivas de musica, concursos, eventos y lanzamientos de discos! http://t.co/2iYmHNSYsS http://t.co/rqB2xjlzfh",1312174,383,2,3426.041775456919,1652,880
The Verge,verge,"https://t.co/W2SFxIXkC4 covers the future of technology, science, art, and culture. Snapchat: verge",1264959,147,3,8605.163265306122,1267,29978
Felipe Peláez R.,Felipe_Pelaez,"Cantautor Colombo-Venezolano. Generos: vallenato, pop y caribeño. Colombian-Venezuelan singer-songwiter and record producer. Vallenato Grammy Award winner 2013",1254978,158,1,7942.898734177215,652,2140
benakribo /,benakribo,100%ｔｅｃｈ ｇｅｅｋ / ｅａｒｌｙ ａｄｏｐｔｅｒ/ ｐａｒｔ ｏｆ @ｉｎｄｏｖｉｄｇｒａｍ / A͟S͟K͟@I͟V͟G͟.C͟O͟.I͟D͟,1252660,1078,1,1162.022263450835,2907,742
Colleen Evans,ColleenB123,I put on lots of lipstick and make videos for a living. https://t.co/cVmCx5gGQG,1218070,8912,1,136.677513464991,27955,1813
AnimalPolitico.com,Pajaropolitico,"Animal Político es periodismo independiente: información, contexto, exclusivas y las historias que necesitas saber para entender tu día a día.",1208405,12972,1,93.15487203206906,13420,8477
Mónica Fonseca,FonsecaMonica,"Wife + Mother | ONU + AUDI Ambassador | TV+Radio Host | EcoFriendly | Fashion Lover | TechEnthusiast | #MFBullets | embajadora @FundacionJuanfe & @Avon_Colombia",1169936,1488,1,786.247311827957,14047,2184
CNET,CNET,CNET is the place to find out what's happening in tech and why it matters. CNET Magazine: https://t.co/ebMrur6pkM Snapchat: cnetsnaps,1167077,294,3,3969.649659863946,1068,24558
América Televisión,americatv_peru,¡Twitter OFICIAL de América Televisión! Infórmate de nuestra programación y novedades. FB: http://t.co/7VZGkZuPpN,1154962,322,1,3586.83850931677,135,1326
Benjamin Enfield,BenjaminEnfield,Benjamin Enfield Promotions - Co-Owners of @Hits93Toronto for Major Distribution/Promo/RadioPlay to over 36M ppl DM ME - Credits @RocNation @DefJamRecords +More,1119479,185431,3,6.03717285674995,83030,2376
Apple News,applenws,"#AppleNews: Latest news about #Apple ( #iPhone) . We are not related with Apple® . Spanish: @MundoApple",1034260,46,12,22483.91304347826,346,6582
IlSole24ORE,sole24ore,Account ufficiale del Sole 24 ORE,1029748,334,1,3083.077844311377,99,4119
New York Giants,Giants,,1024747,687,4,1491.625909752547,52,6639
Kid Ink,Kid_Ink,"Alumni x Batgang | Booking: MBlackman@icmpartners.com |  #SummerInTheWinter https://t.co/928kz3Da14",1010711,5459,1,185.1458142516944,1178,2034
Spinoza,spinozait,Un blog serissimo. Anche in versione live su @LiveSpinoza,1006735,54,1,18643.24074074074,54,4089
Did You Know?,engrossingfacts,"Daily tweets filled with jaw-dropping facts, you won't be leaving this page without learning something new! #contact: didyouknowpics@gmail.com",975976,457,2,2135.614879649891,620,1519
France Inter,franceinter,"France Inter : InterVenez Fil officiel de France Inter, la radio publique généraliste de Radio France.",972986,4451,1,218.5994158616041,1763,7258
Beats By Dre,beatsbydre,"Let the music take you to a new level. #ChargedUp

Shop Active Collection:",967538,1066,1,907.6341463414634,5160,2313
MGM Studios,MGM_Studios,Welcome to the Official Twitter Page for MGM Studios.  Follow us on tumblr: http://t.co/G7UbGMjVgy | Instagram: http://t.co/2zFwgnqhSA,956353,201,1,4757.975124378109,913,5547
Ecuavisa Noticias,EcuavisaInforma,Líder nacional en noticias.,947386,419,1,2261.064439140811,386,1258
DRUDGE REPORT,DRUDGE_REPORT,The DRUDGE REPORT is a U.S. based news aggregation website run by Matt Drudge(@DRUDGE).,921246,2,1,460623,,19617
MAXWELL,_MAXWELL_,"_BLACK(SUMMERS)NIGHT_ #LBTO: https://t.co/06HjvrfOkU #fb: https://t.co/lNZQB2kxrf #instagram: IG: @maxwell",886829,882,1,1005.475056689342,3260,5129
DIE WELT,welt,"Wichtige #Nachrichten, #Reporter-Tweets und Eilmeldungen. Mal Hand, mal Feed. Immer #News.",857808,227,1,3778.88986784141,1366,5723
León Krauze,LeonKrauze,Journalist. Author. @NU34LA @El_Universal_Mx @NewYorker @TheDailyBeast @Letras_Libres Instagram : leonkrauze RT≠endorsement Email me! lkrauze@univision.net,855877,10124,1,84.53941129988146,3598,6644
Prensa Libre,prensa_libre,Diario líder de Guatemala. Llevamos a todos los guatemaltecos dentro y fuera de país lo más importante del acontecer nacional.,855470,88,3,9721.25,92,2601
العناية بالعملاء-STC,STCcare,نقدم لعملائنا الكرام خدماتنا فى (الانترنت - الجوال - الهاتف) على مدار 24 ساعة  A 24/7 Customer Support for (Internet - Jawal - AlHatif ).,845800,6,1,140966.6666666667,258,1429
Chicago Cubs,Cubs,"Official Twitter feed of the Chicago Cubs. Check for team promotions, unique news and giveaways.  Official Rules: http://t.co/JeT7Tt6uop http://t.co/mWl5bQai7Z",839946,399,1,2105.127819548872,12023,7000
RedOne,RedOne_Official,,799807,3565,1,224.3497896213184,870,1871
CHIP,CHIP_online,"Offizieller Twitter-Account von Deutschlands bester Technik-News // 
Impressum: http://t.co/idHbfu7psD",779818,331,1,2355.945619335348,615,2045
ТСН.ua (канал 1+1),tsnua,"Телевізійна служба новин телеканалу 1+1. Останні новини політики, економіки, спорту - все це ексклюзивно на сайті TCH.ua та в цьому твітері",779125,2,1,389562.5,,1636
Knowledge,itzwikipedia,"We tweet Facts that you never knew in your life! (Parody) Not in any way affiliated with Wikipedia!   #contact: factsfun2@gmail.com @gravsharma",773620,580,1,1333.827586206897,212,1465
Cult of Mac,cultofmac,Cult of Mac is a news site that follows everything Apple.,761996,314,3,2426.738853503185,270,11741
Tinchy Stryder,TinchyStryder,Download my new album The Cloud 9 LP / 360° on iTunes now: https://t.co/cw0lJb7HpL • Contact: jackafoster@gmail.com • Live: bwood@wmeentertainment.com •,759915,515,1,1475.563106796116,1106,1693
Pooki's Mahi,PookisMahi,"Pooki's Mahi(TM) brings you award-winning #100Konacoffee kcups® & teas. Why not drink the very best? #1 New Product & #6 Best Product (Decaf) #BizHallofFame",757431,13526,1,55.99815170782198,1253,48
Daily Mirror,DailyMirror,"The official Daily Mirror & Mirror Online Twitter account - real news in real time. Also on Facebook http://t.co/HnRjiMtOF5 and at @MirrorFootball, @MirrorCeleb",737773,6334,1,116.4782128197032,1027,4020
RickyRayment,RickyRayment,Feeling Good.Living Better.-For all bookings/enquiries contact kate@boxstarsmanagement.com SnapChat: Rickyrayment Instagram: Ricky31 Co-owner of @ItsBizNews,728027,3602,1,202.1174347584675,7514,354
HOT 97,HOT97,"HOT 97, Where Hip Hop Lives - 
Listen NOW: http://t.co/UTHRxCEkzj

Follow us! 
IG: @HOT97
http://t.co/esA7zs1qen Snapchat: HOT97OFFICIAL",722673,906,1,797.6523178807947,72,3127
SKEPTA,Skepta,"Bookings: rebecca@earth-agency.com jonathanbriks@theagencygroup.com

Pre-order #Konnichiwa https://t.co/DHwbkQgTmk",721972,548,1,1317.467153284671,1,1346
iPhone News,iPhone_News,The best iPhone news and notes from around the web.  Follow @iphoneinformers for more.,717011,10,6,71701.10000000001,,5035
iTunes TV,iTunesTV,Discover great TV shows.,709956,355,2,1999.876056338028,56,3306
Biel,Biel,"Novo CD, Juntos vamos além, já disponível nas plataformas digitais! Corre pra garantir o seu! ♥️",703787,6414,1,109.7266916120985,670,722
Olhar Digital,olhardigital,"O futuro passa primeiro aqui.

Sábados, às 20h00, no site http://t.co/orQiyDDaRS",698310,926,1,754.1144708423326,15,9309
MacRumors.com,MacRumors,"Apple, Mac, iPhone and iPad News and Rumors. Got a tip? Email it to tips@macrumors.com - YouTube: https://t.co/uSQf3HSpc3 - Facebook: https://t.co/tUCnKIJ4R4",694145,57,3,12177.98245614035,288,18105
عالم آبل,Applewd,"كل أخبار آبل بالعربية ، تلميحات ، تطبيقات وأكثر!

راجع الموقع والتغريدات الأخيرة للمستجدات وربما للحصول على جواب سؤالك",689822,24,1,28742.58333333333,119,3325
