user_name,nickname,bio_content,followers,following,total_tweets,repeats,ff_ratio,influence_score,keyword_score
benakribo /,benakribo,100%ｔｅｃｈ ｇｅｅｋ / ｅａｒｌｙ ａｄｏｐｔｅｒ/ ｐａｒｔ ｏｆ @ｉｎｄｏｖｉｄｇｒａｍ / A͟S͟K͟@I͟V͟G͟.C͟O͟.I͟D͟,1252660,1078,100769,1,1162.022263450835,53.35438741734038,21.80607620040232
العناية بالعملاء-STC,STCcare,نقدم لعملائنا الكرام خدماتنا فى (الانترنت - الجوال - الهاتف) على مدار 24 ساعة  A 24/7 Customer Support for (Internet - Jawal - AlHatif ).,845800,6,2014535,1,140966.6666666667,53.25064151706807,21.76367498250207
Mónica Fonseca,FonsecaMonica,"Wife + Mother | ONU + AUDI Ambassador | TV+Radio Host | EcoFriendly | Fashion Lover | TechEnthusiast | #MFBullets | embajadora @FundacionJuanfe & @Avon_Colombia",1169936,1488,58187,1,786.247311827957,53.15457226923721,21.72441123231918
AnimalPolitico.com,Pajaropolitico,"Animal Político es periodismo independiente: información, contexto, exclusivas y las historias que necesitas saber para entender tu día a día.",1208405,12972,412982,1,93.15487203206906,53.12835394450302,21.71369573515625
CNET,CNET,CNET is the place to find out what's happening in tech and why it matters. CNET Magazine: https://t.co/ebMrur6pkM Snapchat: cnetsnaps,1167077,294,110603,3,3969.649659863946,53.10038490232903,22.626486223873
América Televisión,americatv_peru,¡Twitter OFICIAL de América Televisión! Infórmate de nuestra programación y novedades. FB: http://t.co/7VZGkZuPpN,1154962,322,81567,1,3586.83850931677,53.08647387108667,21.69657924077966
New York Giants,Giants,,1024949,687,20223,4,1491.919941775837,52.91227147431837,23.00680331259451
Benjamin Enfield,BenjaminEnfield,Benjamin Enfield Promotions - Co-Owners of @Hits93Toronto for Major Distribution/Promo/RadioPlay to over 36M ppl DM ME - Credits @RocNation @DefJamRecords +More,1119479,185431,112196,3,6.03717285674995,52.89568566243731,22.53926228867995
Apple News,applenws,"#AppleNews: Latest news about #Apple ( #iPhone) . We are not related with Apple® . Spanish: @MundoApple",1034245,46,103906,12,22483.58695652174,52.83386639261727,26.65104280049186
Chipmunk,OfficialChip,"#RAPVSGRIME- https://t.co/SyTmGEGbRV SOUNDCLOUD- https://t.co/ARXKpeNX6p SPOTIFY- https://t.co/T13grVaO50  BOOKINGS- Bwood@wmeentertainment.com  #CASHMOTTO #CM",612202,3,42569,1,204067.3333333333,52.81005263268997,21.58360516536316
Did You Know?,engrossingfacts,"Daily tweets filled with jaw-dropping facts, you won't be leaving this page without learning something new! #contact: didyouknowpics@gmail.com",975812,457,16529,2,2135.25601750547,52.80163885243448,22.0396773222277
Kid Ink,Kid_Ink,"Alumni x Batgang | Booking: MBlackman@icmpartners.com |  #SummerInTheWinter https://t.co/928kz3Da14",1010711,5459,24963,1,185.1458142516944,52.76137617544972,21.56371097133101
IlSole24ORE,sole24ore,Account ufficiale del Sole 24 ORE,1029748,334,58436,1,3083.077844311377,52.67452599454269,21.5282150776557
RedOne,RedOne_Official,,799807,3565,5889,1,224.3497896213184,52.6596559146801,21.52213763753717
Beats By Dre,beatsbydre,"Let the music take you to a new level. #ChargedUp

Shop Active Collection:",967538,1066,24883,1,907.6341463414634,52.59029739345904,21.49379063043796
MAXWELL,_MAXWELL_,"_BLACK(SUMMERS)NIGHT_ #LBTO: https://t.co/06HjvrfOkU #fb: https://t.co/lNZQB2kxrf #instagram: IG: @maxwell",886829,882,12015,1,1005.475056689342,52.5487873839837,21.47682538215166
Ecuavisa Noticias,EcuavisaInforma,Líder nacional en noticias.,947386,419,24386,1,2261.064439140811,52.5245784188913,21.46693111547386
France Inter,franceinter,"France Inter : InterVenez Fil officiel de France Inter, la radio publique généraliste de Radio France.",972986,4451,59582,1,218.5994158616041,52.41847860225871,21.42356784586602
iPhone News,iPhone_News,The best iPhone news and notes from around the web.  Follow @iphoneinformers for more.,717007,10,50897,6,71700.7,52.00140108341862,23.51584094113404
Prensa Libre,prensa_libre,Diario líder de Guatemala. Llevamos a todos los guatemaltecos dentro y fuera de país lo más importante del acontecer nacional.,855470,88,319588,3,9721.25,51.9188239118883,22.12301391341711
Chicago Cubs,Cubs,"Official Twitter feed of the Chicago Cubs. Check for team promotions, unique news and giveaways.  Official Rules: http://t.co/JeT7Tt6uop http://t.co/mWl5bQai7Z",839946,399,45587,1,2105.127819548872,51.89825266787633,21.21095016031687
DIE WELT,welt,"Wichtige #Nachrichten, #Reporter-Tweets und Eilmeldungen. Mal Hand, mal Feed. Immer #News.",857808,227,158522,1,3778.88986784141,51.8886056786689,21.20700741086468
iTunes TV,iTunesTV,Discover great TV shows.,709956,355,7511,2,1999.876056338028,51.88649098724835,21.65768986711866
León Krauze,LeonKrauze,Journalist. Author. @NU34LA @El_Universal_Mx @NewYorker @TheDailyBeast @Letras_Libres Instagram : leonkrauze RT≠endorsement Email me! lkrauze@univision.net,855877,10124,104945,1,84.53941129988146,51.86344179776509,21.19672286762376
Pooki's Mahi,PookisMahi,"Pooki's Mahi(TM) brings you award-winning #100Konacoffee kcups® & teas. Why not drink the very best? #1 New Product & #6 Best Product (Decaf) #BizHallofFame",757431,13526,12764,1,55.99815170782198,51.82147149121148,21.17956949473048
Cartoon Network,cartoonnetwork,Official Twitter for Cartoon Network,569987,198,3204,1,2878.722222222222,51.75003952528626,21.15037506541531
Knowledge,itzwikipedia,"We tweet Facts that you never knew in your life! (Parody) Not in any way affiliated with Wikipedia!   #contact: factsfun2@gmail.com @gravsharma",773620,580,25059,1,1333.827586206897,51.68069975417168,21.12203572153313
عالم آبل,Applewd,"كل أخبار آبل بالعربية ، تلميحات ، تطبيقات وأكثر!

راجع الموقع والتغريدات الأخيرة للمستجدات وربما للحصول على جواب سؤالك",689822,24,15070,1,28742.58333333333,51.65976533830212,21.11347977159612
نايف الهاجري,Magruff_LE,لو كان الأمر بـ يديّ لـ نزعت قلبي ليكون حذاء لـ آمي ....... مدير موقع الكويت نيوز @liferdefempire,303482,-22,4986,1,303482,51.58769894625637,21.08402605068381
CHIP,CHIP_online,"Offizieller Twitter-Account von Deutschlands bester Technik-News // 
Impressum: http://t.co/idHbfu7psD",779818,331,55713,1,2355.945619335348,51.5827947066869,21.08202167528127
Tinchy Stryder,TinchyStryder,Download my new album The Cloud 9 LP / 360° on iTunes now: https://t.co/cw0lJb7HpL • Contact: jackafoster@gmail.com • Live: bwood@wmeentertainment.com •,759916,515,31634,1,1475.565048543689,51.55800578511683,21.07189037889032
Cult of Mac,cultofmac,Cult of Mac is a news site that follows everything Apple.,762001,314,54533,3,2426.754777070063,51.49571168133355,21.94272250736783
MacRumors.com,MacRumors,"Apple, Mac, iPhone and iPad News and Rumors. Got a tip? Email it to tips@macrumors.com - YouTube: https://t.co/uSQf3HSpc3 - Facebook: https://t.co/tUCnKIJ4R4",694145,57,21764,3,12177.98245614035,51.39323081897579,21.89905461636075
